		Risultati Incontri									
		17a di Serie A									
		Campionato: 15a Camp. (Ritorno)									
		Arte Della Topa						Guffinz SPA			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	TATARUSANU Ciprian	6	0	6		P	SZCZESNY Wojciech	6,5	0	6,5
	D	ASTORI Davide	6	0	6		D	ALEX Rodrigo Dias da Costa	6	3	9
	D	OIKONOMOU Marios	5,5	-0,5	5		D	CHIELLINI Giorgio	6	0	6
	D	RODRIGUEZ Gonzalo Javier	6,5	0	6,5		D	TELLES Alex	5,5	0	5,5
	D	TONELLI Lorenzo	5	0	5		DR	ANSALDI Cristian	5,5	0	5,5
	C	BADELJ Milan	6,5	0	6,5		C	BONAVENTURA Giacomo	7	4	11
	C	NAINGGOLAN Radja	6	-0,5	5,5		C	DE ROON Marten	4,5	0	4,5
	CR	NTCHAM Olivier	5	0	5		C	MOUNIER Anthony	5,5	0	5,5
	A	PUCCIARELLI Manuel	7	4	11		C	VIVIANI Federico	6	0	6
	A	TONI Luca	7	3	10		CR	PAGANINI Luca	5,5	0	5,5
	AR	GILARDINO Alberto	5,5	0	5,5		A	SALAH Mohamed	5,5	0	5,5
				Parziale squadra	72					Parziale squadra	70,5
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0,5
				Modificatore difesa	0					Modificatore difesa	0
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore modulo	-0,5					Modificatore modulo	0,5
				Totale squadra	73,5					Totale squadra	71,5
				Gol	2					Gol	2
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Cs	CATALDI Danilo	sv/ng	0	sv/ng		Ds	TOLOI Rafael	sv/ng	0	sv/ng
	As	ROSSI Giuseppe	sv/ng	0	sv/ng		Cs	KONDOGBIA Geoffrey	sv/ng	0	sv/ng
	P	LEALI Nicola	6,5	-4	2,5		D	DE MAIO Sebastian	6	0	6
	D	GONZALEZ Giancarlo	5	-0,5	4,5		D	ADNAN Ali	5,5	0	5,5
	D	IZZO Armando	6	0	6		P	DE SANCTIS Morgan	sv/ng	0	sv/ng
	C	QUAISON Robin	5,5	0	5,5		C	HETEMAJ Perparim	6	0	6
	C	KONE Panagiotis	sv/ng	0	sv/ng		C	IONITA Artur	6,5	0	6,5
	C	MORRISON Raven Ryan	sv/ng	0	sv/ng		A	CALLEJON Jose Maria	6	0	6
	A	MATOS Ryder	sv/ng	0	sv/ng		A	BABACAR Khouma Elhadji	sv/ng	0	sv/ng
	A	ITURBE Juan	sv/ng	0	sv/ng		A	DJURDJEVIC Uros	5,5	-0,5	5
	D	GOBBI Massimo	5	0	5		A	MBAKOGU Jerry Uche	6,5	0	6,5
	D	HOEDT Wesley	6,5	0	6,5		P	LOBONT Bogdan	sv/ng	0	sv/ng
	d	CACCIATORE Fabrizio	5,5	0	5,5		d	EL KAOUTARI Abdelhamid	sv/ng	0	sv/ng
	d	HELANDER Filip	sv/ng	0	sv/ng		d	MAGGIO Christian	sv/ng	0	sv/ng
	c	BLASZCZYKOWSKI Jakub	sv/ng	0	sv/ng		d	SPOLLI Nicolas Federico	sv/ng	0	sv/ng
	c	KISHNA Ricardo	sv/ng	0	sv/ng		c	GUCHER Robert	sv/ng	0	sv/ng
	c	LAZZARI Andrea	sv/ng	0	sv/ng		c	PEROTTI Diego	sv/ng	0	sv/ng
	c	MARTINHO Raphael	sv/ng	0	sv/ng		a	KLOSE Miroslav	sv/ng	0	sv/ng
											
		Campionato: 15a Camp. (Ritorno)									
		Atletico Caipirinha						SmallAzz			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	SORRENTINO Stefano	6	-2	4		P	BIZZARRI Albano Benjamin	5	-2	3
	D	ACERBI Francesco	6	0	6		D	ABATE Ignazio	6,5	3	9,5
	D	MORETTI Emiliano	5,5	0	5,5		D	BARZAGLI Andrea	6,5	0	6,5
	D	MURILLO Jeison	6,5	0	6,5		D	EVRA Patrice	6,5	1	7,5
	C	BIRSA Valter	5	0	5		C	ACQUAH Afriyie	5	0	5
	C	BRIENZA Franco	7	3	10		C	FLORENZI Alessandro	6	2,5	8,5
	C	SAPONARA Riccardo	7	1	8		C	GRASSI Alberto	6,5	0	6,5
	C	SODDIMO Danilo	5	-0,5	4,5		C	MEDEL Gary	5	0	5
	A	BACCA Carlos	6,5	3	9,5		A	GERVINHO Yao Kouassi	6	0	6
	A	FLOCCARI Sergio	7	3	10		A	JOVETIC Stevan	5	0	5
	A	SANSONE Nicola Domenico	7	0	7		A	LJAJIC Adem	6	0	6
				Parziale squadra	76					Parziale squadra	68,5
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0
				Modificatore difesa	-1					Modificatore difesa	0
				Modificatore centrocampo	0,5					Modificatore centrocampo	-0,5
				Modificatore modulo	1					Modificatore modulo	1
				Totale squadra	78,5					Totale squadra	69
				Gol	3					Gol	1
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	P	GOLLINI Pierluigi	6,5	-1	5,5		A	DI NATALE Antonio	6	0	6
	A	BORRIELLO Marco	7	3	10		A	IAGO FALQUE Silva	5,5	0	5,5
	A	WILCZEK Kamil	sv/ng	0	sv/ng		A	MANAJ Rey	sv/ng	0	sv/ng
	C	SAMMARCO Paolo	5,5	0	5,5		P	SECULIN Andrea	sv/ng	0	sv/ng
	C	FERNANDES Bruno Miguel	6	0	6		D	FIGUEIRAS Diogo Jose	sv/ng	0	sv/ng
	C	JAJALO Mato	5,5	0	5,5		D	CASTAN Leandro da Silva	sv/ng	0	sv/ng
	C	BIONDINI Davide	6	0	6		D	RISPOLI Andrea	sv/ng	0	sv/ng
	C	LOLLO Lorenzo	5,5	0	5,5		D	ZAPATA Cristian	sv/ng	0	sv/ng
	D	LAZAAR Achraf	5,5	0	5,5		C	STURARO Stefano	sv/ng	0	sv/ng
	D	PALETTA Gabriel	5,5	-1	4,5		C	D'ALESSANDRO Marco	5	0	5
	D	SOUPRAYEN Samuel	6	0	6		C	ASAMOAH Kwadwo	sv/ng	0	sv/ng
	D	DRAME' Boukary	sv/ng	0	sv/ng		C	MAGNANELLI Francesco	sv/ng	0	sv/ng
	p	COLOMBI Simone	sv/ng	0	sv/ng		p	BRESSAN Walter	sv/ng	0	sv/ng
	p	RAFAEL De Andrade Bittencourt Pinheiro	sv/ng	0	sv/ng		d	DAPRELA' Fabio	sv/ng	0	sv/ng
	d	CHERUBIN Nicolo	sv/ng	0	sv/ng		d	MARCHESE Giovanni	sv/ng	0	sv/ng
	a	GOMEZ Juan Ignacio	sv/ng	0	sv/ng		d	TOROSIDIS Vasilis	sv/ng	0	sv/ng
	a	PINILLA Mauricio	sv/ng	0	sv/ng		c	PEREYRA Roberto Maximiliano	sv/ng	0	sv/ng
							c	RIGONI Luca	sv/ng	0	sv/ng
											
		Campionato: 15a Camp. (Ritorno)									
		Plineiras						Cioppese			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	VIVIANO Emiliano	6	0	6		P	BERISHA Etrit	6	-1	5
	D	MANOLAS Kostas	6	0	6		D	ALBIOL Raul	6,5	0	6,5
	D	MIRANDA Joao de Souza	6	0	6		D	ALONSO Marcos	5,5	0	5,5
	DR	EDENILSON Andrade dos Santos	5,5	0	5,5		DR	RONCAGLIA Facundo Sebastian	6,5	0	6,5
	C	CIGARINI Luca	6,5	-0,5	6		C	DE ROSSI Daniele	5,5	0	5,5
	C	FERNANDO Lucas Martins	6,5	-0,5	6		C	LODI Francesco	7	0	7
	C	KHEDIRA Sami	6	0	6		C	MORALEZ Maximiliano	6	0	6
	C	RINCON Tomas	6	0	6		C	VALERO Borja Iglesias	6,5	0	6,5
	A	MACCARONE Massimo	8	6	14		A	DYBALA Paulo	6	0	6
	A	MEGGIORINI Riccardo	5	0	5		A	NIANG Mbaye	6	-0,5	5,5
	A	MURIEL Luis Fernando	6,5	1	7,5		AR	PANDEV Goran	5	0	5
				Parziale squadra	74					Parziale squadra	65
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0
				Modificatore difesa	0					Modificatore difesa	0
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore modulo	1					Modificatore modulo	1
				Totale squadra	77					Totale squadra	66
				Gol	3					Gol	1
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Ds	D'AMBROSIO Danilo	sv/ng	0	sv/ng		Ds	LICHTSTEINER Stephan	sv/ng	0	sv/ng
	P	PUGGIONI Christian	sv/ng	0	sv/ng		As	LUIZ ADRIANO Souza da Silva	sv/ng	0	sv/ng
	D	GAMBERINI Alessandro	5	-0,5	4,5		P	GUERRIERI Guido	sv/ng	0	sv/ng
	D	WIDMER Silvan	6	0	6		A	CERCI Alessio	sv/ng	0	sv/ng
	C	LEMINA Mario	sv/ng	0	sv/ng		A	PIU Alessandro	sv/ng	0	sv/ng
	C	CORREA Joaquin	sv/ng	0	sv/ng		C	LAXALT Diego Sebastian	5	-0,5	4,5
	C	LOPEZ David	6	0	6		C	TACHTSIDIS Panagiotis	5,5	0	5,5
	C	CROCE Daniele	sv/ng	0	sv/ng		C	PINZI Giampiero	sv/ng	0	sv/ng
	C	DI GAUDIO Antonio	6	0	6		C	HERNANES Anderson	sv/ng	0	sv/ng
	A	CASSANO Antonio	7	1	8		D	STRUNA Aljaz	5	-0,5	4,5
	A	GAKPE' Serge	6	0	6		D	ROMAGNOLI Simone	5,5	0	5,5
	A	LIVAJA Marko	6	0	6		C	MAURI Jose	sv/ng	0	sv/ng
	p	BRIGNOLI Alberto	sv/ng	0	sv/ng		p	MARCHETTI Federico	sv/ng	0	sv/ng
