		Risultati Incontri									
		27a di Serie A									
		Campionato: 25a Camp. (Ritorno)									
		Atletico Gambineiro						Amazzulu FC			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	BIZZARRI Albano Benjamin	7	0	7		P	SEPE Luigi	6	-1	5
	D	ALBIOL Raul	5	-0,5	4,5		D	BASANTA Jose Maria	6	0	6
	D	ANDELKOVIC Sinisa	5,5	-0,5	5		D	DE MAIO Sebastian	6	-0,5	5,5
	D	HOLEBAS Jose	5	0	5		D	FREY Nicholas	5,5	0	5,5
	DR	DAPRELA' Fabio	5	0	5		C	ANDERSON Felipe	8	6	14
	C	BENASSI Marco	6	0	6		C	AQUILANI Alberto	5	0	5
	C	PJANIC Miralem	4,5	-0,5	4		C	BONAVENTURA Giacomo	6	0	6
	C	SORIANO Roberto	6,5	0	6,5		CR	JOAQUIN Sanchez Rodriguez	7	4	11
	C	VERDI Simone	6	0	6		A	EDER Martins Citadin	6,5	0	6,5
	A	BERARDI Domenico	7	2,5	9,5		A	TONI Luca	8	5,5	13,5
	A	DYBALA Paulo	5,5	-0,5	5		AR	PALOSCHI Alberto	8	6	14
				Parziale squadra	63,5					Parziale squadra	92
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0,5					Modificatore portiere	0
				Modificatore difesa	0					Modificatore difesa	1,5
				Modificatore centrocampo	-1					Modificatore centrocampo	1
				Modificatore modulo	1					Modificatore modulo	0
				Totale squadra	66					Totale squadra	94,5
				Gol	1					Gol	6
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Ds	VOLTA Massimo	sv/ng	0	sv/ng		Cs	FERNANDEZ Matias Ariel	sv/ng	0	sv/ng
	P	BARDI Francesco	sv/ng	0	sv/ng		As	PELLISSIER Sergio	sv/ng	0	sv/ng
	D	FEDDAL Zouhair	sv/ng	0	sv/ng		P	BASSI Davide	sv/ng	0	sv/ng
	D	SPOLLI Nicolas Federico	sv/ng	0	sv/ng		D	SAVIC Stefan	sv/ng	0	sv/ng
	C	RADOVANOVIC Ivan	6,5	0	6,5		D	IZZO Armando	sv/ng	0	sv/ng
