		Risultati Incontri									
		26a di Serie A									
		Campionato: 22a Camp. (Ritorno)									
		Arte Della Topa						Il Ciuccio FC			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	GABRIEL Vasconcellos Ferreira	5,5	-1	4,5		P	TATARUSANU Ciprian	5,5	-2	3,5
	D	RODRIGUEZ Gonzalo Javier	5,5	0	5,5		D	HOEDT Wesley	6	-0,5	5,5
	D	RUDIGER Antonio	6,5	0	6,5		D	RADU Stefan	6,5	0	6,5
	DR	MASINA Adam	5	0	5		D	SILVESTRE Matias	6	0	6
	DR	OIKONOMOU Marios	6,5	-0,5	6		C	BERTOLACCI Andrea	6,5	-0,5	6
	C	BENASSI Marco	5	-0,5	4,5		C	EL KADDOURI Omar	6	0	6
	C	CATALDI Danilo	5,5	-0,5	5		C	PELLEGRINI Lorenzo	5,5	-0,5	5
	C	FOFANA Seko	6,5	0	6,5		C	PERISIC Ivan	6,5	0,5	7
	C	NAINGGOLAN Radja	8	6	14		C	ZIELINSKI Piotr	6	0	6
	A	INGLESE Roberto	6	0	6		A	DZEKO Edin	6,5	0	6,5
	A	MURIEL Luis Fernando	6	1	7		A	MILIK Arkadiusz	5	0	5
				Parziale squadra	70,5					Parziale squadra	63
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0
				Modificatore difesa	0					Modificatore difesa	0
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore attacco	0					Modificatore attacco	0,5
				Modificatore modulo	0,5					Modificatore modulo	0
				Totale squadra	73					Totale squadra	63,5
				Gol	2					Gol	0
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Ds	FERRARI Giammarco	sv/ng	0	sv/ng		P	SPORTIELLO Marco	sv/ng	0	sv/ng
	Ds	MARIO RUI Duarte	sv/ng	0	sv/ng		D	CHIRICHES Vlad	sv/ng	0	sv/ng
	P	RAFAEL De Andrade Bittencourt	sv/ng	0	sv/ng		D	MAKSIMOVIC Nikola	4,5	0	4,5
