		Risultati Incontri									
		8a di Serie A									
		Campionato: 6a Camp. (Andata)									
		Atletico Caipirinha						Roca Junior			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	SORRENTINO Stefano	7	0	7		P	RAFAEL De Andrade Bittencourt Pinheiro	5	-1	4
	D	ACERBI Francesco	6,5	0	6,5		D	BOVO Cesare	6	-0,5	5,5
	D	MORETTI Emiliano	5	0	5		D	CISSOKHO Issa	6	0	6
	DR	MURILLO Jeison	6	0	6		D	DIGNE Lucas	6,5	0	6,5
	C	BIRSA Valter	6,5	0	6,5		D	GHOULAM Faouzi	6	0	6
	C	BRIENZA Franco	6,5	0	6,5		D	ROSI Aleandro	6,5	0	6,5
	C	FERNANDES Bruno Miguel	7	0	7		C	CANDREVA Antonio	5,5	0	5,5
	C	SODDIMO Danilo	7,5	0	7,5		C	MERTENS Dries	6	1	7
	A	BORRIELLO Marco	6	0	6		C	MILINKOVIC-SAVIC Sergej	6	-0,5	5,5
	A	GOMEZ Juan Ignacio	5,5	0	5,5		C	RIZZO Luca	6	-0,5	5,5
	A	PINILLA Mauricio	7	3	10		A	BERARDI Domenico	6,5	3	9,5
				Parziale squadra	73,5					Parziale squadra	67,5
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0,5					Modificatore portiere	0
				Modificatore difesa	0					Modificatore difesa	0
				Modificatore centrocampo	1					Modificatore centrocampo	-1
				Modificatore modulo	-1					Modificatore modulo	1
				Totale squadra	76					Totale squadra	67,5
				Gol	3					Gol	1
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Ds	CHERUBIN Nicolo	sv/ng	0	sv/ng		P	PADELLI Daniele	6	-1	5
	P	SKORUPSKI Lukasz	5,5	-3	2,5		D	DAINELLI Dario	sv/ng	0	sv/ng
	D	DRAME' Boukary	6	0	6		D	JUAN JESUS Guilherme	5,5	0	5,5
	D	LAZAAR Achraf	6,5	0	6,5		D	MAURICIO dos Santos	5	-0,5	4,5
	D	SOUPRAYEN Samuel	5,5	0	5,5		C	TONEV Aleksandar	sv/ng	0	sv/ng
	A	BACCA Carlos	6,5	3	9,5		C	KURTIC Jasmin	6	0	6
	A	SANSONE Nicola Domenico	6	-0,5	5,5		C	SUAREZ Mario	sv/ng	0	sv/ng
	C	LOLLO Lorenzo	sv/ng	0	sv/ng		C	RADOVANOVIC Ivan	sv/ng	0	sv/ng
	C	FALCO Filippo	sv/ng	0	sv/ng		C	BROZOVIC Marcelo	6	-0,5	5,5
	C	BIONDINI Davide	6	0	6		A	MANDZUKIC Mario	5,5	0	5,5
	C	JAJALO Mato	sv/ng	0	sv/ng		A	BIABIANY Jonathan Ludovic	sv/ng	0	sv/ng
	p	ALASTRA Fabrizio	sv/ng	0	sv/ng		A	PANICO Giuseppe	sv/ng	0	sv/ng
