		Risultati Incontri									
		37a di Serie A									
		Campionato: 37a									
		Cioppese						Atletico Caipirinha			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	MARCHETTI Federico	8	5	13		P	SORRENTINO Stefano	6,5	0	6,5
	D	ALBIOL Raul	6,5	-0,5	6		D	ACERBI Francesco	6	0	6
	D	ALONSO Marcos	6	0	6		D	GAMBERINI Alessandro	5,5	0	5,5
	D	ROMAGNOLI Simone	5	-0,5	4,5		DU	Riserva d'ufficio	0	0	4
	D	ZUNIGA Juan Camilo	5	0	5		C	BRIENZA Franco	6	0	6
	C	VALERO Borja Iglesias	6	-0,5	5,5		C	HALLFREDSSON Emil	5,5	0	5,5
	CR	TACHTSIDIS Panagiotis	7	0	7		C	SAMMARCO Paolo	6	0	6
	CR	LAXALT Diego Sebastian	7	0	7		C	SAPONARA Riccardo	6,5	0	6,5
	A	BERNARDESCHI Federico	6	0	6		A	BACCA Carlos	5,5	3	8,5
	A	DYBALA Paulo	6,5	3	9,5		A	BORRIELLO Marco	6	0	6
	A	ZARATE Mauro Matias	6,5	-0,5	6		A	SANSONE Nicola Domenico	5	0	5
				Parziale squadra	75,5					Parziale squadra	65,5
				Fattore campo	0					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0,5
				Modificatore difesa	0,5					Modificatore difesa	0,5
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore modulo	1					Modificatore modulo	0,5
				Totale squadra	77					Totale squadra	67
				Gol	3					Gol	1
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Cs	ALVAREZ Ricardo Gabriel	sv/ng	0	sv/ng		Ds	MORETTI Emiliano	sv/ng	0	sv/ng
	Cs	TELLO Cristian	sv/ng	0	sv/ng		A	FLOCCARI Sergio	6	0	6
	P	BERISHA Etrit	sv/ng	0	sv/ng		A	GOMEZ Juan Ignacio	sv/ng	0	sv/ng
	P	GUERRIERI Guido	sv/ng	0	sv/ng		P	BELEC Vid	6	-3	3
	A	CERCI Alessio	sv/ng	0	sv/ng		C	FERNANDES Bruno Miguel	sv/ng	0	sv/ng
	C	MAURI Jose	5,5	-0,5	5		C	FREULER Remo	sv/ng	0	sv/ng
	C	LODI Francesco	6	0	6		C	LOLLO Lorenzo	5	-0,5	4,5
	C	DE ROSSI Daniele	6	0	6		D	PALETTA Gabriel	sv/ng	0	sv/ng
	D	RONCAGLIA Facundo Sebastian	6	0	6		D	DRAME' Boukary	sv/ng	0	sv/ng
	D	PASQUAL Manuel	6	-0,5	5,5		D	CHERUBIN Nicolo	sv/ng	0	sv/ng
	D	STRUNA Aljaz	sv/ng	0	sv/ng		D	LAZAAR Achraf	sv/ng	0	sv/ng
	C	GUILHERME dos Santos	sv/ng	0	sv/ng		C	BIRSA Valter	sv/ng	0	sv/ng
	d	LAURINI Vincent	sv/ng	0	sv/ng		D	SOUPRAYEN Samuel	sv/ng	0	sv/ng
	c	ITURRA Manuel	sv/ng	0	sv/ng		p	COLOMBI Simone	sv/ng	0	sv/ng
	a	NIANG Mbaye	sv/ng	0	sv/ng		p	GOLLINI Pierluigi	7	-1	6
							d	ARMERO Pablo	sv/ng	0	sv/ng
							d	MURILLO Jeison	sv/ng	0	sv/ng
							c	JAJALO Mato	6	0	6
							c	SODDIMO Danilo	sv/ng	0	sv/ng
							a	PINILLA Mauricio	sv/ng	0	sv/ng
											
		Campionato: 37a									
		Heroes de la Baja Jamon						Augusta Romulea FC			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	PR	SPORTIELLO Marco	5,5	-1	4,5		P	LAMANNA Eugenio	7,5	0	7,5
	D	ALEX SANDRO Lobo Silva	4,5	-1	3,5		D	CANNAVARO Paolo	6	-0,5	5,5
	D	BONUCCI Leonardo	5	0	5		D	CASSANI Mattia	4,5	0	4,5
	D	DE SILVESTRI Lorenzo	4,5	0	4,5		D	DODO' Jose Rodolfo	4,5	0	4,5
	C	ALLAN Marques Loureiro	7	0	7		D	MASIELLO Andrea	6	0	6
	C	DUNCAN Joseph Alfred	7	0	7		C	BIGLIA Lucas Rodrigo	6,5	-1	5,5
	C	PAROLO Marco	6,5	-0,5	6		C	WSZOLEK Pawel	6,5	0	6,5
	C	PELLEGRINI Lorenzo	6	0	6		CR	BERTOLACCI Andrea	5,5	-0,5	5
	A	DEFREL Gregoire	6	0	6		CR	RIGONI Nicola	6	0	6
	A	EL SHAARAWY Stephan	6	0	6		A	THEREAU Cyril	6	0	6
	A	PAVOLETTI Leonardo	7,5	4	11,5		A	TOTTI Francesco	6,5	1	7,5
				Parziale squadra	67					Parziale squadra	64,5
				Fattore campo	0					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	1
				Modificatore difesa	1					Modificatore difesa	2,5
				Modificatore centrocampo	0,5					Modificatore centrocampo	-0,5
				Modificatore modulo	0					Modificatore modulo	1
				Totale squadra	68,5					Totale squadra	68,5
				Gol	1					Gol	1
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Ps	MIRANTE Antonio	sv/ng	0	sv/ng		Cs	GAZZI Alessandro	sv/ng	0	sv/ng
	A	CIOFANI Daniel	6,5	0	6,5		Cs	MISSIROLI Simone	sv/ng	0	sv/ng
	C	DIAWARA Amadou	4,5	-1	3,5		D	GLIK Kamil	sv/ng	0	sv/ng
	C	VECINO Matias	sv/ng	0	sv/ng		D	MOLINARO Cristian	5,5	0	5,5
	C	BADU Emmanuel Agyemang	5,5	0	5,5		D	CESAR Bostjan	5	0	5
	D	ZAPPACOSTA Davide	5,5	0	5,5		D	FERRARI Alex	sv/ng	0	sv/ng
	D	PAVLOVIC Daniel	sv/ng	0	sv/ng		C	VIVES Giuseppe	5,5	0	5,5
	P	KARNEZIS Orestis	6	-1	5		C	MARRONE Luca	6	-0,5	5,5
	A	TROTTA Marcello	sv/ng	0	sv/ng		A	DZEKO Edin	sv/ng	0	sv/ng
	D	BLANCHARD Leonardo	sv/ng	0	sv/ng		A	MATAVZ Tim	sv/ng	0	sv/ng
	D	ANDELKOVIC Sinisa	6,5	0	6,5		A	SADIQ Umar	sv/ng	0	sv/ng
	D	PATRIC Gabarron Gil	sv/ng	0	sv/ng		p	BENUSSI Francesco	sv/ng	0	sv/ng
	d	GOLDANIGA Edoardo	sv/ng	0	sv/ng		p	BRKIC Zeljko	sv/ng	0	sv/ng
	d	PEZZELLA Giuseppe	sv/ng	0	sv/ng		p	PERIN Mattia	sv/ng	0	sv/ng
	c	CHIBSAH Yussif Raman	sv/ng	0	sv/ng		d	MOISANDER Nicklas	sv/ng	0	sv/ng
	c	DONSAH Godfred	sv/ng	0	sv/ng		d	RANOCCHIA Andrea	sv/ng	0	sv/ng
	a	MATRI Alessandro	sv/ng	0	sv/ng		c	CARBONERO Carlos	sv/ng	0	sv/ng
							c	GOMEZ Alejandro	sv/ng	0	sv/ng
											
		Campionato: 37a									
		Il Ciuccio FC						Roca Junior			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	REINA Pepe	6	-1	5		P	PADELLI Daniele	5,5	-2	3,5
	D	KOULIBALY Kalidou	7	0	7		D	DIGNE Lucas	6	0	6
	D	MASINA Adam	5,5	0	5,5		D	GHOULAM Faouzi	6,5	0	6,5
	DU	Riserva d'ufficio	0	0	4		D	NAGATOMO Yuto	6	-0,5	5,5
	C	HILJEMARK Oscar Karl	6	0	6		DR	JUAN JESUS Guilherme	5	0	5
	C	HONDA Keisuke	5,5	0	5,5		C	BROZOVIC Marcelo	5,5	0	5,5
	C	JORGINHO Luiz	6	0	6		C	CANDREVA Antonio	6,5	3	9,5
	C	PJANIC Miralem	7	3	10		C	FRARA Alessandro	6	0	6
	A	BELOTTI Andrea	5	0	5		C	MERTENS Dries	6	0	6
	A	HIGUAIN Gonzalo	8	3	11		A	BERARDI Domenico	6	0,5	6,5
	A	ZAPATA Duvan	6,5	3	9,5		A	LASAGNA Kevin	5	0	5
				Parziale squadra	74,5					Parziale squadra	65
				Fattore campo	0					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0
				Modificatore difesa	0					Modificatore difesa	0
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore modulo	0					Modificatore modulo	1
				Totale squadra	74,5					Totale squadra	66
				Gol	2					Gol	1
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Ds	MUNOZ Ezequiel	sv/ng	0	sv/ng		Ds	BITTANTE Luca	sv/ng	0	sv/ng
	P	GABRIEL Vasconcellos Ferreira	sv/ng	0	sv/ng		P	PELAGOTTI Alberto	5,5	-2	3,5
	P	RAFAEL Cabral Barbosa	sv/ng	0	sv/ng		D	STRINIC Ivan	sv/ng	0	sv/ng
	D	PIRIS Ivan Rodrigo	sv/ng	0	sv/ng		D	MORGANELLA Michel	6	-0,5	5,5
	D	CHIRICHES Vlad	sv/ng	0	sv/ng		C	KURTIC Jasmin	6,5	0	6,5
	D	MBAYE Ibrahima	sv/ng	0	sv/ng		C	BARRETO Edgar Osvaldo	sv/ng	0	sv/ng
	C	BASELLI Daniele	5,5	0	5,5		C	MILINKOVIC-SAVIC Sergej	sv/ng	0	sv/ng
	C	BENASSI Marco	4,5	-0,5	4		A	BIABIANY Jonathan Ludovic	5,5	0	5,5
	C	FERNANDEZ Matias Ariel	6	0	6		A	INGLESE Roberto	sv/ng	0	sv/ng
	C	VERDI Simone	6	0	6		A	DJORDJEVIC Filip	4	-1	3
	A	FALCINELLI Diego	6	0	6		D	ROSI Aleandro	sv/ng	0	sv/ng
	A	GABBIADINI Manolo	sv/ng	0	sv/ng		C	VAINQUEUR William	sv/ng	0	sv/ng
	A	SILIGARDI Luca	6,5	-0,5	6		p	ICHAZO Salvador	sv/ng	0	sv/ng
	d	FELIPE Dalbelo Dias	sv/ng	0	sv/ng		p	PUGLIESI Maurizio	sv/ng	0	sv/ng
	d	SANTON Davide	sv/ng	0	sv/ng		d	MAURICIO dos Santos	5,5	-0,5	5
	d	TOMOVIC Nenad	sv/ng	0	sv/ng		d	SILVESTRE Matias	4,5	0	4,5
	c	DE GUZMAN Jonathan	sv/ng	0	sv/ng		c	BONAVENTURA Giacomo	sv/ng	0	sv/ng
	c	GRASSI Alberto	sv/ng	0	sv/ng		c	RIZZO Luca	sv/ng	0	sv/ng
	a	PAZZINI Giampaolo	sv/ng	0	sv/ng		a	MANDZUKIC Mario	sv/ng	0	sv/ng
	a	PERICA Stipe	sv/ng	0	sv/ng		a	MCHEDLIDZE Levan	sv/ng	0	sv/ng
							a	PANICO Giuseppe	sv/ng	0	sv/ng
											
		Campionato: 37a									
		Plineiras						Arte Della Topa			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	VIVIANO Emiliano	6	-3,5	2,5		P	TATARUSANU Ciprian	6	0	6
	D	MANOLAS Kostas	6	0	6		D	ASTORI Davide	6,5	0	6,5
	D	MIRANDA Joao de Souza	6	0	6		D	GOBBI Massimo	6	0	6
	D	PERES Bruno da Silva	6	3	9		D	HOEDT Wesley	5	0	5
	C	ASAMOAH Kwadwo	5,5	0	5,5		D	RODRIGUEZ Gonzalo Javier	6	0	6
	C	CIGARINI Luca	6,5	0	6,5		D	TONELLI Lorenzo	6	0	6
	C	FERNANDO Lucas Martins	6	-0,5	5,5		C	BADELJ Milan	5,5	0	5,5
	C	LEMINA Mario	5,5	-0,5	5		C	NAINGGOLAN Radja	7,5	3	10,5
	C	RINCON Tomas	7	-0,5	6,5		C	QUAISON Robin	6	0	6
	A	FLORO FLORES Antonio	6,5	0	6,5		C	RIGONI Luca	7,5	0	7,5
	AR	CASSANO Antonio	6	0	6		A	GILARDINO Alberto	6	0	6
				Parziale squadra	65					Parziale squadra	71
				Fattore campo	0					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0
				Modificatore difesa	0					Modificatore difesa	0
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore modulo	-1					Modificatore modulo	0,5
				Totale squadra	64					Totale squadra	71,5
				Gol	0					Gol	2
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	As	MURIEL Luis Fernando	sv/ng	0	sv/ng		P	LEZZERINI Luca	sv/ng	0	sv/ng
	P	BRIGNOLI Alberto	sv/ng	0	sv/ng		D	GONZALEZ Giancarlo	5	-0,5	4,5
	D	ZUKANOVIC Ervin	sv/ng	0	sv/ng		D	CACCIATORE Fabrizio	6	0	6
	D	D'AMBROSIO Danilo	6	0	6		D	IZZO Armando	7	0	7
	D	EDENILSON Andrade dos Santos	sv/ng	0	sv/ng		C	CATALDI Danilo	sv/ng	0	sv/ng
	C	CORREA Joaquin	5	0	5		C	NTCHAM Olivier	sv/ng	0	sv/ng
	C	CROCE Daniele	6	0	6		C	BLASZCZYKOWSKI Jakub	sv/ng	0	sv/ng
	C	DI GAUDIO Antonio	5	0	5		C	BOATENG Kevin-Prince	sv/ng	0	sv/ng
	A	MACCARONE Massimo	6,5	1	7,5		C	KISHNA Ricardo	sv/ng	0	sv/ng
	A	LUIZ ADRIANO Souza da Silva	7	0	7		C	KONE Panagiotis	sv/ng	0	sv/ng
	A	MEGGIORINI Riccardo	sv/ng	0	sv/ng		A	TONI Luca	7,5	3	10,5
	A	GAKPE' Serge	sv/ng	0	sv/ng		A	PUCCIARELLI Manuel	6,5	3	9,5
	p	PUGGIONI Christian	sv/ng	0	sv/ng		p	LEALI Nicola	sv/ng	0	sv/ng
	p	SEPE Luigi	sv/ng	0	sv/ng		d	HELANDER Filip	6,5	-0,5	6
