		Risultati Incontri									
		38a di Serie A									
		Campionato: 38a di Serie A									
		Atletico Caipirinha						River Cyccy			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	SORRENTINO Stefano	7	-2	5		P	CONSIGLI Andrea	7	-1	6
	D	ACERBI Francesco	6	0	6		D	BURDISSO Nicolas Andres	6,5	0	6,5
	D	GAMBERINI Alessandro	6	0	6		D	HYSAJ Elseid	7	1	8
	D	MURILLO Jeison	4	-1	3		D	KONKO Abdoulay	4,5	0	4,5
	C	BRIENZA Franco	6	0	6		C	POGBA Paul	7	0	7
	C	FERNANDES Bruno Miguel	6	0	6		C	POLITANO Matteo	7,5	6	13,5
	C	SAPONARA Riccardo	6,5	1	7,5		C	SORIANO Roberto	5,5	0	5,5
	CR	SAMMARCO Paolo	5	0	5		C	ZIELINSKI Piotr	7	3	10
	A	BACCA Carlos	4	3	7		A	DI NATALE Antonio	7	3	10
	A	BORRIELLO Marco	6	0	6		A	MORATA Alvaro	6,5	1	7,5
	A	FLOCCARI Sergio	5,5	0	5,5		A	VAZQUEZ Franco Damian	7,5	2,5	10
				Parziale squadra	63					Parziale squadra	88,5
				Fattore campo	0					Fattore campo	0
				Modificatore portiere	0,5					Modificatore portiere	0,5
				Modificatore difesa	0					Modificatore difesa	1
				Modificatore centrocampo	-1					Modificatore centrocampo	1
				Modificatore modulo	1					Modificatore modulo	1
				Totale squadra	63,5					Totale squadra	92
				Gol	0					Gol	6
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Cs	BIRSA Valter	sv/ng	0	sv/ng		P	PEGOLO Gianluca	sv/ng	0	sv/ng
	P	BELEC Vid	sv/ng	0	sv/ng		D	DANILO Larangeira	5,5	0	5,5
	A	SANSONE Nicola Domenico	6,5	0	6,5		D	PELUSO Federico	6	0	6
	A	GOMEZ Juan Ignacio	sv/ng	0	sv/ng		D	GABRIEL SILVA Moises	6	0	6
	C	HALLFREDSSON Emil	sv/ng	0	sv/ng		C	BUCHEL Marcel	sv/ng	0	sv/ng
	C	FREULER Remo	6	0	6		C	KRAGL Oliver	6	0	6
	C	JAJALO Mato	sv/ng	0	sv/ng		C	KRSTICIC Nenad	5	0	5
	D	DRAME' Boukary	sv/ng	0	sv/ng		C	LULIC Senad	6	3	9
	D	CHERUBIN Nicolo	sv/ng	0	sv/ng		A	ZAZA Simone	6	0	6
	D	LAZAAR Achraf	6	0	6		A	TRAJKOVSKI Aleksandar	5,5	0	5,5
	D	MORETTI Emiliano	6	0	6		A	M'POKU Paul-Jose	6,5	-0,5	6
	D	ARMERO Pablo	sv/ng	0	sv/ng		A	MONACHELLO Gaetano	6	0	6
	p	COLOMBI Simone	6	-1	5		p	POMINI Alberto	sv/ng	0	sv/ng
	p	GOLLINI Pierluigi	6	-3	3		d	AJETI Arlind	sv/ng	0	sv/ng
	d	PALETTA Gabriel	sv/ng	0	sv/ng		d	BELLINI Gian Paolo	sv/ng	0	sv/ng
	d	SOUPRAYEN Samuel	sv/ng	0	sv/ng		d	RADU Stefan	sv/ng	0	sv/ng
	c	LOLLO Lorenzo	sv/ng	0	sv/ng		d	ZACCARDO Cristian	6	0	6
	c	SODDIMO Danilo	sv/ng	0	sv/ng		c	KRUNIC Rade	6	0	6
	a	PINILLA Mauricio	sv/ng	0	sv/ng		c	TAIDER Saphir	sv/ng	0	sv/ng
											
		Campionato: 38a di Serie A									
		Augusta Romulea FC						Roca Junior			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	LAMANNA Eugenio	6	-2	4		P	PUGLIESI Maurizio	6,5	-1	5,5
	D	CANNAVARO Paolo	6	-0,5	5,5		D	DIGNE Lucas	7	0	7
	D	DODO' Jose Rodolfo	5	0	5		D	GHOULAM Faouzi	6,5	0	6,5
	D	MASIELLO Andrea	6	-0,5	5,5		D	MORGANELLA Michel	5	-1	4
	DR	GLIK Kamil	5	0	5		DR	NAGATOMO Yuto	5,5	0	5,5
	C	BERTOLACCI Andrea	4	0	4		C	BONAVENTURA Giacomo	5,5	0	5,5
	C	GAZZI Alessandro	5	0	5		C	BROZOVIC Marcelo	5,5	0,5	6
