		Risultati Incontri									
		34a di Serie A									
		Campionato: 35a									
		Amazzulu FC						CamPaz			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	SEPE Luigi	6	0	6		P	DE SANCTIS Morgan	6	0	6
	D	BASANTA Jose Maria	6	0	6		D	BARBA Federico	6,5	0	6,5
	D	DE MAIO Sebastian	6	0	6		D	DE SILVESTRI Lorenzo	5,5	-0,5	5
	D	IZZO Armando	6	-0,5	5,5		D	TOROSIDIS Vasilis	6	-0,5	5,5
	DR	SAVIC Stefan	6	0	6		C	BRIENZA Franco	5	0	5
	C	ANDERSON Felipe	6	-0,5	5,5		C	CROCE Daniele	6	0	6
	C	BADELJ Milan	6	0	6		C	GAZZI Alessandro	6	0	6
	C	BONAVENTURA Giacomo	6,5	0	6,5		C	PEREYRA Roberto Maximiliano	6,5	0	6,5
	C	FERNANDEZ Matias Ariel	6	0	6		A	ITURBE Juan	5	0	5
	A	PALOSCHI Alberto	6	0	6		A	PODOLSKI Lukas	5	-0,5	4,5
	A	TONI Luca	6	0	6		A	THEREAU Cyril	6	0	6
				Parziale squadra	65,5					Parziale squadra	62
				Fattore campo	0					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0
				Modificatore difesa	0					Modificatore difesa	0
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore modulo	1					Modificatore modulo	0
				Totale squadra	66,5					Totale squadra	62
				Gol	1					Gol	0
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Ds	FREY Nicholas	sv/ng	0	sv/ng		P	LOBONT Bogdan	sv/ng	0	sv/ng
	P	BASSI Davide	sv/ng	0	sv/ng		P	SKORUPSKI Lukasz	sv/ng	0	sv/ng
	D	SARDO Gennaro	6	0	6		D	ASTORI Davide	6,5	0	6,5
	D	CASSANI Mattia	sv/ng	0	sv/ng		D	GAMBERINI Alessandro	6	0	6
