		Risultati Incontri									
		5a di Serie A									
		Campionato: 1a Camp. (Andata)									
		Arte Della Topa						Plineiras			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	SKORUPSKI Lukasz	6	-2	4		P	HART Joe	6,5	-0,5	6
	D	KOULIBALY Kalidou	6,5	0	6,5		D	CHIELLINI Giorgio	6,5	0	6,5
	D	RODRIGUEZ Gonzalo Javier	6	0	6		D	MANOLAS Kostas	6,5	0	6,5
	D	ROMAGNOLI Alessio	6,5	0	6,5		DR	BARBA Federico	5	0	5
	C	CATALDI Danilo	5	-0,5	4,5		C	BENALI Ahmed	6	0	6
	C	DE PAUL Rodrigo	7	1	8		C	FERNANDES Bruno Miguel	6	0	6
	C	PAREDES Leandro	6,5	0	6,5		C	JORGINHO Luiz	6	-0,5	5,5
	C	TORREIRA Lucas	5	0	5		C	KONDOGBIA Geoffrey	6	0	6
	A	BABACAR Khouma Elhadji	7	3	10		A	EDER Martins Citadin	6	0	6
	A	DESTRO Mattia	6,5	3	9,5		A	HIGUAIN Gonzalo	7,5	3	10,5
	A	MURIEL Luis Fernando	5,5	0	5,5		A	PJACA Marko	6	0	6
				Parziale squadra	72					Parziale squadra	70
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0,5
				Modificatore difesa	0					Modificatore difesa	-0,5
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore attacco	0					Modificatore attacco	0
				Modificatore modulo	1					Modificatore modulo	1
				Totale squadra	75					Totale squadra	71
				Gol	2					Gol	2
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	P	STORARI Marco	6	-4	2		Ds	DE SILVESTRI Lorenzo	sv/ng	0	sv/ng
	P	ALISSON	sv/ng	0	sv/ng		P	PADELLI Daniele	sv/ng	0	sv/ng
	D	CASTAN Leandro da Silva	sv/ng	0	sv/ng		P	KARNEZIS Orestis	6	-2	4
	D	MASINA Adam	5,5	0	5,5		D	EVRA Patrice	sv/ng	0	sv/ng
	D	ORBAN Lucas	5,5	-0,5	5		D	RUGANI Daniele	7	2,5	9,5
	D	FERRARI Giammarco	5	0	5		D	ANTONELLI Luca	sv/ng	0	sv/ng
	C	NAINGGOLAN Radja	sv/ng	0	sv/ng		C	HERNANES Anderson	6	0	6
	C	BENASSI Marco	6,5	0	6,5		C	RADOVANOVIC Ivan	sv/ng	0	sv/ng
	A	SCHICK Patrik	5	0	5		C	BROZOVIC Marcelo	sv/ng	0	sv/ng
	A	INGLESE Roberto	5,5	0	5,5		A	MANDZUKIC Mario	sv/ng	0	sv/ng
	A	FLOCCARI Sergio	sv/ng	0	sv/ng		A	PALLADINO Raffaele	5,5	-3	2,5
	d	OIKONOMOU Marios	sv/ng	0	sv/ng		A	PETAGNA Andrea	sv/ng	0	sv/ng
	c	BIGLIA Lucas Rodrigo	sv/ng	0	sv/ng		d	BENATIA Mehdi	sv/ng	0	sv/ng
	c	VECINO Matias	sv/ng	0	sv/ng		c	SALA Jacopo	sv/ng	0	sv/ng
											
		Campionato: 1a Camp. (Andata)									
		Atletico Caipirinha						Augusta Romulea FC			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	VIVIANO Emiliano	6	-2	4		P	BERISHA Etrit	5,5	-1	4,5
	D	BASTA Dusan	5,5	0	5,5		D	ACERBI Francesco	6	0	6
	D	CACCIATORE Fabrizio	6,5	0	6,5		D	FELIPE Dalbelo Dias	5,5	0	5,5
	DR	GAMBERINI Alessandro	6,5	0	6,5		D	GASTALDELLO Daniele	6,5	0	6,5
	C	BARRETO Edgar Osvaldo	4,5	-1	3,5		D	KONKO Abdoulay	6	0	6
	C	BIRSA Valter	6,5	0	6,5		C	ANDERSON Felipe	6	0	6
	C	STROOTMAN Kevin	7	0	7		C	KESSIE Franck	5,5	-0,5	5
	C	SUSO Jesus	5,5	0	5,5		C	VERDI Simone	7	2,5	9,5
	C	TAIDER Saphir	6	0	6		C	VERRE Valerio	6,5	0	6,5
	A	BACCA Carlos	7	3	10		A	DEFREL Gregoire	6,5	3	9,5
	A	MACCARONE Massimo	5,5	-0,5	5		A	PERICA Stipe	5,5	0	5,5
				Parziale squadra	66					Parziale squadra	70,5
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0
				Modificatore difesa	0					Modificatore difesa	0
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore attacco	0					Modificatore attacco	0
				Modificatore modulo	0					Modificatore modulo	0,5
				Totale squadra	68					Totale squadra	71
				Gol	1					Gol	2
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Ds	DAINELLI Dario	sv/ng	0	sv/ng		P	SPORTIELLO Marco	sv/ng	0	sv/ng
	P	PUGGIONI Christian	sv/ng	0	sv/ng		D	ZUKANOVIC Ervin	sv/ng	0	sv/ng
	D	REGINI Vasco	5,5	0	5,5		D	SANTON Davide	6	0	6
	D	RAIMONDI Cristian	sv/ng	0	sv/ng		D	CANNAVARO Paolo	6	0	6
	D	CEPPITELLI Luca	4,5	-2	2,5		D	CLAITON dos Santos Machado	4,5	0	4,5
	C	DI FRANCESCO Federico	5	-1	4		C	BASELLI Daniele	5	0	5
	C	GAZZI Alessandro	6	0	6		C	KREJCI Ladislav	7	2	9
	C	DI GENNARO Davide	5	-0,5	4,5		C	MONTOLIVO Riccardo	6,5	0	6,5
	A	GILARDINO Alberto	sv/ng	0	sv/ng		C	TONEV Aleksandar	sv/ng	0	sv/ng
	A	LAPADULA Gianluca	sv/ng	0	sv/ng		A	BORRIELLO Marco	5	0	5
	A	TROTTA Marcello	sv/ng	0	sv/ng		A	FALCINELLI Diego	5,5	0	5,5
	A	SIMY Tochukwu Nwankwo	sv/ng	0	sv/ng		A	FARIAS Diego da Silva	sv/ng	0	sv/ng
	p	TOZZO Andrea	sv/ng	0	sv/ng		p	BASSI Davide	sv/ng	0	sv/ng
	d	COSTA Andrea	sv/ng	0	sv/ng		a	SADIQ Umar	sv/ng	0	sv/ng
											
		Campionato: 1a Camp. (Andata)									
		Burak Black Cocks						Guffinz SPA			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	CONSIGLI Andrea	6	-2	4		P	BIZZARRI Albano Benjamin	7	0	7
	D	BIRAGHI Cristiano	6	-0,5	5,5		D	ZAMPANO Francesco	6,5	0	6,5
