		Risultati Incontri									
		32a di Serie A									
		Campionato: 32a									
		Cioppese						Augusta Romulea FC			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	MARCHETTI Federico	6	0	6		P	PERIN Mattia	7	0	7
	D	ALBIOL Raul	5	-0,5	4,5		D	CESAR Bostjan	6	0	6
	D	ALONSO Marcos	5	-0,5	4,5		D	DODO' Jose Rodolfo	6	0	6
	D	LAURINI Vincent	6	0	6		D	GLIK Kamil	6	0	6
	D	ROMAGNOLI Simone	5,5	0	5,5		D	MOLINARO Cristian	6	0	6
	C	LODI Francesco	6	0	6		C	BIGLIA Lucas Rodrigo	7	0	7
	C	TELLO Cristian	6	0	6		C	GOMEZ Alejandro	6,5	0	6,5
	C	VALERO Borja Iglesias	5	0	5		C	VIVES Giuseppe	5,5	0	5,5
	CR	DE ROSSI Daniele	6	0	6		CR	WSZOLEK Pawel	5,5	0	5,5
	A	BERNARDESCHI Federico	5	0	5		A	DZEKO Edin	5	0	5
	A	ZARATE Mauro Matias	6	0	6		A	THEREAU Cyril	6	0	6
				Parziale squadra	60,5					Parziale squadra	66,5
				Fattore campo	0					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0,5
				Modificatore difesa	0					Modificatore difesa	1
				Modificatore centrocampo	-0,5					Modificatore centrocampo	0,5
				Modificatore modulo	0					Modificatore modulo	0
				Totale squadra	60					Totale squadra	68,5
				Gol	0					Gol	1
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	Cs	ALVAREZ Ricardo Gabriel	sv/ng	0	sv/ng		Cs	RIGONI Nicola	sv/ng	0	sv/ng
	P	BERISHA Etrit	sv/ng	0	sv/ng		D	CANNAVARO Paolo	5,5	0	5,5
	P	GUERRIERI Guido	sv/ng	0	sv/ng		D	RANOCCHIA Andrea	7	-0,5	6,5
	A	CERCI Alessio	sv/ng	0	sv/ng		D	MASIELLO Andrea	6,5	-0,5	6
	C	LAXALT Diego Sebastian	sv/ng	0	sv/ng		D	MOISANDER Nicklas	6	-0,5	5,5
	C	TACHTSIDIS Panagiotis	6	0	6		C	GAZZI Alessandro	sv/ng	0	sv/ng
	C	MAURI Jose	sv/ng	0	sv/ng		C	BERTOLACCI Andrea	sv/ng	0	sv/ng
	D	PASQUAL Manuel	sv/ng	0	sv/ng		C	MARRONE Luca	5	0	5
	D	ZUNIGA Juan Camilo	6	0	6		A	MATAVZ Tim	6	0	6
	D	RONCAGLIA Facundo Sebastian	4,5	-0,5	4		A	TOTTI Francesco	6,5	0,5	7
	D	STRUNA Aljaz	sv/ng	0	sv/ng		A	SADIQ Umar	sv/ng	0	sv/ng
	c	GUILHERME dos Santos	sv/ng	0	sv/ng		P	LAMANNA Eugenio	sv/ng	0	sv/ng
	c	ITURRA Manuel	sv/ng	0	sv/ng		p	BENUSSI Francesco	sv/ng	0	sv/ng
	a	DYBALA Paulo	sv/ng	0	sv/ng		p	BRKIC Zeljko	sv/ng	0	sv/ng
	a	NIANG Mbaye	sv/ng	0	sv/ng		d	CASSANI Mattia	sv/ng	0	sv/ng
							d	FERRARI Alex	sv/ng	0	sv/ng
							c	CARBONERO Carlos	sv/ng	0	sv/ng
							c	MISSIROLI Simone	sv/ng	0	sv/ng
											
		Campionato: 32a									
		Il Ciuccio FC						Heroes de la Baja Jamon			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	REINA Pepe	6	0	6		P	SPORTIELLO Marco	6	-2	4
