		Risultati Incontri									
		16a di Serie A									
		Campionato: 12a Camp. (Andata)									
		Arte Della Topa						Santos (do Bareira)			
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	SKORUPSKI Lukasz	6	0	6		P	DONNARUMMA Gianluigi	6	-1	5
	D	CASTAN Leandro da Silva	5	-0,5	4,5		D	BARRECA Antonio	5	0	5
	D	KOULIBALY Kalidou	5,5	-0,5	5		D	FAZIO Federico Julian	6	0	6
	D	RODRIGUEZ Gonzalo Javier	5,5	0	5,5		D	RUDIGER Antonio	6	-0,5	5,5
	D	ROMAGNOLI Alessio	5,5	0	5,5		C	CAPEZZI Leonardo	6	-1	5
	C	BIGLIA Lucas Rodrigo	6,5	-0,5	6		C	MAGNANELLI Francesco	6,5	0	6,5
	C	FOFANA Seko	7	4	11		C	MARCHISIO Claudio	6,5	0	6,5
	C	NAINGGOLAN Radja	7	3	10		C	SPINAZZOLA Leonardo	6	0	6
	C	TORREIRA Lucas	6	0	6		CR	BRUGMAN Gaston	5,5	0	5,5
	A	DESTRO Mattia	5	0	5		A	BELOTTI Andrea	7	3	10
	A	MURIEL Luis Fernando	5	0	5		A	KEITA Balde Diao	6	0	6
				Parziale squadra	69,5					Parziale squadra	67
				Fattore campo	2					Fattore campo	0
				Modificatore portiere	0					Modificatore portiere	0
				Modificatore difesa	0,5					Modificatore difesa	1
				Modificatore centrocampo	0					Modificatore centrocampo	0
				Modificatore attacco	0					Modificatore attacco	0
				Modificatore modulo	0,5					Modificatore modulo	0
				Totale squadra	72,5					Totale squadra	68
				Gol	2					Gol	1
											
		Sostituiti, panchina e tribuna						Sostituiti, panchina e tribuna			
	P	STORARI Marco	6	-5	1		Cs	BONAVENTURA Giacomo	sv/ng	0	sv/ng
	P	RAFAEL De Andrade Bittencourt	sv/ng	0	sv/ng		P	GABRIEL Vasconcellos Ferreira	sv/ng	0	sv/ng
	A	BABACAR Khouma Elhadji	sv/ng	0	sv/ng		P	PLIZZARI Alessandro	sv/ng	0	sv/ng
	A	INGLESE Roberto	sv/ng	0	sv/ng		D	CIONEK Thiago Rangel	6	0	6
	C	BENASSI Marco	6,5	0	6,5		D	BELLUSCI Giuseppe	6,5	0	6,5
	C	JANKTO Jakub	sv/ng	0	sv/ng		C	FREULER Remo	sv/ng	0	sv/ng
	C	VECINO Matias	6	0	6		C	MISSIROLI Simone	sv/ng	0	sv/ng
	D	FERRARI Giammarco	7,5	3	10,5		C	BANEGA Ever	sv/ng	0	sv/ng
	D	MASINA Adam	5	0	5		A	THEREAU Cyril	7	3	10
	D	JUAN JESUS Guilherme	sv/ng	0	sv/ng		A	MELCHIORRI Federico	6	0	6
